,fecha_accidente,a_o_accidente,mes_accidente,dia_accidente,hora_accidente,gravedad_accidente,clase_accidente,sitio_exacto_accidente,cant_heridos_en_sitio_accidente,cantidad_accidentes,cant_muertos_en_sitio_accidente,Unnamed: 0,Latitud,Longitud
63,2023-02-04,2023,4,sun,1900-01-01 18:40:00,con heridos,choque,calle 84 con carrera 64,1,1,,63,11.01191,-74.8108
64,2023-02-04,2023,4,sun,1900-01-01 06:45:00,con heridos,choque,carrera 51b calle 102,4,1,,64,11.013,-74.83406
65,2023-02-04,2023,4,sun,1900-01-01 22:50:00,con heridos,choque,carrera 21 calle 48,1,1,,65,10.96488,-74.79674
66,2023-02-04,2023,4,sun,1900-01-01 23:00:00,con heridos,choque,carrera 43 calle 80,1,1,,66,10.99647,-74.81582
67,2023-02-05,2023,5,tue,1900-01-01 17:30:00,con heridos,choque,calle 51 cra 30,1,1,,67,10.97347,-74.7937
68,2023-02-05,2023,5,tue,1900-01-01 18:30:00,con heridos,choque,carrera 38 enre 79b y 79c,2,1,,68,10.98435,-74.8071
69,2023-02-05,2023,5,tue,1900-01-01 07:10:00,con heridos,choque,calle 75 carrera 45,3,1,,69,10.99521,-74.80931
70,2023-02-05,2023,5,tue,1900-01-01 11:00:00,con heridos,choque,carrera 43 calle 65,2,1,,70,10.9876,-74.79977
71,2023-02-06,2023,6,fri,1900-01-01 09:30:00,con heridos,choque,calle 28 carrera 10,1,1,,71,10.96561,-74.84264
72,2023-02-07,2023,7,sun,1900-01-01 13:00:00,con heridos,choque,carrera 49d entre calles 100 y 99,2,1,,72,11.00955,-74.83179
73,2023-02-07,2023,7,sun,1900-01-01 02:00:00,con heridos,choque,diagonal 78 carrera 21b,1,1,,73,10.97142,-74.82279
74,2023-02-07,2023,7,sun,1900-01-01 15:30:00,con heridos,choque,calle 30 carrera 39,1,1,,74,10.93569,-74.77582
75,2023-02-07,2023,7,sun,1900-01-01 06:45:00,con heridos,choque,calle 45 carrera 8b,2,1,,75,10.94728,-74.8005
76,2023-02-07,2023,7,sun,1900-01-01 21:00:00,con heridos,choque,calle 19 con carrera 1f,1,1,,76,10.93676,-74.7799
77,2023-02-07,2023,7,sun,1900-01-01 21:30:00,con heridos,choque,carrera 59b con calle 91,1,1,,77,11.01523,-74.81792
78,2023-02-08,2023,8,wed,1900-01-01 13:50:00,con heridos,atropello,calle 19 con carrera 7,1,1,,78,10.94672,-74.77565
79,2023-02-08,2023,8,wed,1900-01-01 14:00:00,con heridos,choque,carrera 38 entre calle 76 y 79a,1,1,,79,10.97634,-74.7769
80,2023-02-08,2023,8,wed,1900-01-01 14:45:00,con heridos,choque,calle 72 carrera 38,1,1,,80,10.98543,-74.81113
81,2023-02-08,2023,8,wed,1900-01-01 17:30:00,con heridos,choque,calle 90 con carrera 59,3,1,,81,11.01406,-74.81769
82,2023-02-08,2023,8,wed,1900-01-01 21:30:00,con heridos,choque,carrera 8b sur calle 51b,1,1,,82,10.94723,-74.80611
83,2023-02-09,2023,9,sat,1900-01-01 14:13:00,con heridos,choque,calle 92 carrera 51d,1,1,,83,11.00989,-74.82337
