Latitud,Longitud
3.4809956,-76.5174181
10.9230761,-74.8008722
10.9230761,-74.8008722
,
,
,
,
10.5159055,-71.6954269
10.5159055,-71.6954269
10.065175,-69.3269447
4.5945609,-74.0714632
4.5945609,-74.0714632
,
,
10.0653771,-69.33584139999999
10.0653771,-69.33584139999999
14.6297254,-90.5236351
14.6297254,-90.5236351
10.9642931,-74.7962562
10.9642931,-74.7962562
,
,
,
4.6706101,-74.0642541
4.6706101,-74.0642541
40.7475461,14.4952251
40.7475461,14.4952251
,
6.209135,-75.566654
6.209135,-75.566654
10.9813395,-74.8414684
10.9813395,-74.8414684
4.7272889,-74.076729
4.7272889,-74.076729
,
,
10.9835238,-74.80410820000002
10.9835238,-74.80410820000002
10.9828499,-74.8342722
10.9828499,-74.8342722
4.7272889,-74.076729
4.7272889,-74.076729
4.7272889,-74.076729
,
,
,
,
10.9940217,-74.8157121
10.9940217,-74.8157121
